,0,1,2,3,4,5,6,7,8,9
0,1,Bayern Munich,17,7,5,2,0,15,2,+13
1,2,TSG 1899 Hoffenheim,13,7,3,4,0,11,6,+5
2,3,Borussia Mönchengladbach,13,7,3,4,0,9,4,+5
3,4,Bayer Leverkusen,12,7,3,3,1,13,11,+2
4,5,Eintracht Francfort,12,7,3,3,1,12,10,+2
5,6,1. FSV Mayence 05,11,7,2,5,0,10,6,+4
6,7,VfL Wolfsbourg,11,7,3,2,2,11,8,+3
7,8,Hanovre 96,10,7,3,1,3,5,8,-3
8,9,SC Paderborn 07,9,7,2,3,2,10,10,0
9,10,FC Augsburg,9,7,3,0,4,8,9,-1
10,11,Schalke 04,8,7,2,2,3,11,12,-1
11,12,Hertha Berlin,8,7,2,2,3,11,14,-3
12,13,Borussia Dortmund,7,7,2,1,4,9,12,-3
13,14,FC Cologne,6,7,1,3,3,4,6,-2
14,15,SC Fribourg,5,7,0,5,2,7,10,-3
15,16,VfB Stuttgart,5,7,1,2,4,6,12,-6
16,17,Hambourg SV,5,7,1,2,4,2,8,-6
17,18,Werder Brême,4,7,0,4,3,10,16,-6
