,0,1,2,3,4,5,6,7,8,9
0,1,Bayern Munich,27,9,9,0,0,32,3,+29
1,2,Borussia Dortmund,22,8,7,1,0,28,8,+20
2,3,VfL Wolfsbourg,20,9,6,2,1,22,8,+14
3,4,Hertha Berlin,19,8,6,1,1,14,7,+7
4,5,Borussia Mönchengladbach,19,9,6,1,2,18,12,+6
5,6,Schalke 04,17,9,5,2,2,13,11,+2
6,7,Bayer Leverkusen,14,8,4,2,2,15,9,+6
7,8,FC Cologne,13,9,3,4,2,7,6,+1
8,9,1. FSV Mayence 05,13,9,4,1,4,11,11,0
9,10,VfB Stuttgart,10,9,3,1,5,10,17,-7
10,11,Eintracht Francfort,9,8,2,3,3,12,14,-2
11,12,Hambourg SV,8,8,2,2,4,8,10,-2
12,13,FC Ingolstadt 04,8,8,2,2,4,6,9,-3
13,14,FC Augsburg,8,9,2,2,5,9,13,-4
14,15,TSG 1899 Hoffenheim,7,8,1,4,3,9,12,-3
15,16,Darmstadt 98,7,9,1,4,4,7,15,-8
16,17,Hanovre 96,6,8,2,0,6,10,14,-4
17,18,Werder Brême,4,8,1,1,6,5,16,-11
