,0,1,2,3,4,5,6,7,8,9
0,1,Bayern Munich,29,12,9,2,1,21,7,+14
1,2,Borussia Dortmund,26,13,8,2,3,25,16,+9
2,3,Darmstadt 98,18,12,5,3,4,17,17,0
3,4,1. FSV Mayence 05,17,12,5,2,5,17,17,0
4,5,Hertha Berlin,17,12,5,2,5,16,16,0
5,6,Bayer Leverkusen,17,12,5,2,5,14,16,-2
6,7,Werder Brême,17,13,5,2,6,20,25,-5
7,8,FC Augsburg,15,12,4,3,5,15,17,-2
8,9,Hambourg SV,15,12,4,3,5,14,18,-4
9,10,Schalke 04,14,11,4,2,5,13,14,-1
10,11,FC Cologne,14,12,3,5,4,14,19,-5
11,12,FC Ingolstadt 04,13,12,3,4,5,6,14,-8
12,13,VfB Stuttgart,12,12,3,3,6,20,28,-8
13,14,Borussia Mönchengladbach,11,11,3,2,6,20,24,-4
14,15,Hanovre 96,11,12,3,2,7,10,20,-10
15,16,VfL Wolfsbourg,10,12,2,4,6,11,20,-9
16,17,Eintracht Francfort,9,12,2,3,7,10,19,-9
17,18,TSG 1899 Hoffenheim,7,12,1,4,7,10,19,-9
