,0,1,2,3,4,5,6,7,8,9
0,1,Manchester United (ANG),33,17,10,3,4,34,19,+15
1,2,FC Liverpool (ANG),31,17,9,4,4,42,27,+15
2,3,Tottenham Hotspur (ANG),29,16,9,2,5,21,23,-2
3,4,FC Arsenal (ANG),29,17,9,2,6,27,30,-3
4,5,Manchester City (ANG),28,16,8,4,4,32,19,+13
5,6,Chelsea (ANG),25,16,7,4,5,23,15,+8
6,7,Everton (ANG),24,16,6,6,4,20,18,+2
7,8,Southampton (ANG),22,17,6,4,7,21,23,-2
8,9,Newcastle United (ANG),22,16,7,1,8,19,25,-6
9,10,Aston Villa (ANG),17,16,4,5,7,16,24,-8
10,11,West Ham United (ANG),16,16,4,4,8,14,19,-5
11,12,West Bromwich Albion (ANG),15,17,3,6,8,18,28,-10
12,13,Crystal Palace (ANG),14,17,4,2,11,12,23,-11
13,14,Sunderland (ANG),14,17,3,5,9,17,32,-15
14,15,Fulham (ANG),14,17,4,2,11,14,40,-26
15,16,Swansea City (GAL),13,17,3,4,10,16,26,-10
16,17,Hull City (ANG),11,16,3,2,11,14,24,-10
17,18,Stoke City (ANG),10,17,2,4,11,15,33,-18
18,19,Norwich City (ANG),8,16,2,2,12,11,39,-28
19,20,Cardiff City FC (GAL),7,16,1,4,11,11,32,-21
