,0,1,2,3,4,5,6,7,8,9
0,1,Chelsea (ANG),31,13,10,1,2,29,10,+19
1,2,FC Liverpool (ANG),30,13,9,3,1,32,14,+18
2,3,Manchester City (ANG),30,13,9,3,1,29,12,+17
3,4,FC Arsenal (ANG),28,13,8,4,1,28,13,+15
4,5,Tottenham Hotspur (ANG),24,13,6,6,1,19,10,+9
5,6,Manchester United (ANG),20,13,5,5,3,18,15,+3
6,7,Everton (ANG),19,13,5,4,4,16,15,+1
7,8,Watford (ANG),18,13,5,3,5,17,21,-4
8,9,West Bromwich Albion (ANG),17,13,4,5,4,17,16,+1
9,10,Southampton (ANG),17,13,4,5,4,13,12,+1
10,11,Stoke City (ANG),16,13,4,4,5,14,19,-5
11,12,Bournemouth (ANG),15,13,4,3,6,15,19,-4
12,13,Burnley FC (ANG),14,13,4,2,7,12,21,-9
13,14,Leicester City (ANG),13,13,3,4,6,16,22,-6
14,15,Middlesbrough (ANG),12,13,2,6,5,12,15,-3
15,16,West Ham United (ANG),12,13,3,3,7,14,24,-10
16,17,Crystal Palace (ANG),11,13,3,2,8,21,26,-5
17,18,Hull City (ANG),11,13,3,2,8,11,28,-17
18,19,Swansea City (GAL),9,13,2,3,8,16,26,-10
19,20,Sunderland (ANG),8,13,2,2,9,12,23,-11
