,0,1,2,3,4,5,6,7,8,9
0,1,Manchester United (ANG),6,2,2,0,0,6,0,+6
1,2,FC Liverpool (ANG),6,2,2,0,0,5,0,+5
2,3,FC Arsenal (ANG),6,2,2,0,0,7,3,+4
3,4,Manchester City (ANG),4,2,1,1,0,6,1,+5
4,5,Stoke City (ANG),4,2,1,1,0,3,2,+1
5,6,West Bromwich Albion (ANG),4,2,1,1,0,2,1,+1
6,7,Huddersfield Town (ANG),4,2,1,1,0,1,0,+1
7,8,Southampton (ANG),4,3,1,1,1,3,4,-1
8,9,West Ham United (ANG),3,1,1,0,0,2,0,+2
9,10,Chelsea (ANG),3,2,1,0,1,4,3,+1
10,11,Leicester City (ANG),3,2,1,0,1,3,2,+1
11,-,Newcastle United (ANG),3,2,1,0,1,3,2,+1
12,13,Brighton & Hove Albion FC (ANG),3,2,1,0,1,3,3,0
13,14,Burnley FC (ANG),3,2,1,0,1,1,1,0
14,15,Everton (ANG),3,2,1,0,1,1,3,-2
15,16,Watford (ANG),2,2,0,2,0,3,3,0
16,17,Tottenham Hotspur (ANG),1,2,0,1,1,2,3,-1
17,18,Bournemouth (ANG),0,2,0,0,2,1,4,-3
18,19,Crystal Palace (ANG),0,2,0,0,2,0,5,-5
19,-,Swansea City (GAL),0,2,0,0,2,0,5,-5
