,0,1,2,3,4,5,6,7,8,9
0,1,FC Barcelone,16,6,5,1,0,13,2,+11
1,2,Atlético Madrid,15,6,5,0,1,10,4,+6
2,3,Real Madrid,13,6,4,1,1,12,9,+3
3,4,Grenade CF,11,6,3,2,1,5,5,0
4,5,Levante UD,11,6,3,2,1,6,10,-4
5,6,Villarreal CF,10,6,3,1,2,7,5,+2
6,7,Celta Vigo,9,6,3,0,3,11,8,+3
7,8,Getafe CF,9,6,3,0,3,7,7,0
8,9,Elche CF,8,6,2,2,2,8,10,-2
9,10,Valence CF,7,6,2,1,3,6,11,-5
10,11,Real Sociedad,6,6,1,3,2,6,9,-3
11,12,Athletic Bilbao,6,6,2,0,4,6,11,-5
12,13,Real Valladolid,5,6,1,2,3,6,8,-2
13,14,Málaga CF,4,6,0,4,2,4,7,-3
14,15,Espanyol Barcelone,4,6,1,1,4,5,10,-5
15,16,UD Almería,4,6,1,1,4,7,14,-7
16,17,FC Séville,3,6,0,3,3,9,16,-7
17,18,Osasuna Pampelune,3,6,1,0,5,4,13,-9
18,19,Rayo Vallecano,3,6,1,0,5,3,18,-15
19,20,Betis Séville,1,6,0,1,5,5,15,-10
