,0,1,2,3,4,5,6,7,8,9
0,1,FC Barcelone,38,16,12,2,2,39,16,+23
1,2,Atlético Madrid,35,16,11,2,3,22,8,+14
2,3,Real Madrid,33,16,10,3,3,42,15,+27
3,4,Celta Vigo,31,16,9,4,3,28,22,+6
4,5,Villarreal CF,30,16,9,3,4,21,15,+6
5,6,Deportivo La Corogne,26,16,6,8,2,25,16,+9
6,7,Athletic Bilbao,24,16,7,3,6,24,18,+6
7,8,FC Séville,23,16,6,5,5,21,19,+2
8,9,Valence CF,22,16,5,7,4,21,14,+7
9,10,Eibar SD,21,16,5,6,5,19,19,0
10,11,Betis Séville,20,16,5,5,6,13,19,-6
11,12,Espanyol Barcelone,20,16,6,2,8,16,26,-10
12,13,Málaga CF,17,16,4,5,7,10,14,-4
13,14,Real Sociedad,16,16,4,4,8,17,22,-5
14,15,Getafe CF,16,16,4,4,8,18,26,-8
15,16,Sporting Gijon,15,16,4,3,9,16,26,-10
16,17,Grenade CF,14,16,3,5,8,17,27,-10
17,18,Rayo Vallecano,14,16,4,2,10,18,37,-19
18,19,Las Palmas UD,13,16,3,4,9,12,23,-11
19,20,Levante UD,11,16,2,5,9,12,29,-17
