,0,1,2,3,4,5,6,7,8,9
0,1,FC Séville,15,5,5,0,0,12,6,+6
1,2,Atlético Madrid,13,5,4,1,0,18,4,+14
2,3,Villarreal CF,13,5,4,1,0,12,3,+9
3,4,Real Madrid,11,5,3,2,0,11,6,+5
4,5,FC Barcelone,10,5,3,1,1,13,5,+8
5,6,Málaga CF,10,5,3,1,1,9,5,+4
6,-,Real Sociedad,10,5,3,1,1,9,5,+4
7,8,Athletic Bilbao,10,5,3,1,1,9,6,+3
8,9,Eibar SD,10,5,3,1,1,8,5,+3
9,10,Las Palmas UD,9,5,2,3,0,11,6,+5
10,11,Celta Vigo,9,5,3,0,2,10,10,0
11,12,Deportivo La Corogne,7,5,2,1,2,6,6,0
12,13,Sporting Gijon,7,5,2,1,2,6,10,-4
13,14,Deportivo Alavés,6,5,1,3,1,5,6,-1
14,15,Betis Séville,5,5,1,2,2,4,9,-5
15,16,Espanyol Barcelone,3,5,0,3,2,5,9,-4
16,17,Valence CF,3,5,1,0,4,8,13,-5
17,18,Grenade CF,2,5,0,2,3,3,6,-3
18,19,Osasuna Pampelune,2,5,0,2,3,4,8,-4
19,20,CD Leganés,1,5,0,1,4,4,12,-8
