,0,1,2,3,4,5,6,7,8,9
0,1,Olympique Lyonnais,41,20,12,5,3,35,18,+17
1,2,Paris SG,39,20,11,6,3,36,12,+24
2,3,Olympique de Marseille,38,20,12,2,6,25,23,+2
3,4,Girondins de Bordeaux,32,20,7,11,2,23,14,+9
4,5,OGC Nice,32,20,8,8,4,31,26,+5
5,6,Stade Rennais,32,20,10,2,8,29,26,+3
6,7,Lorient,31,20,8,7,5,32,31,+1
7,8,Lille OSC,30,20,7,9,4,26,20,+6
8,9,Montpellier Herault SC,29,20,8,5,7,31,24,+7
9,10,Valenciennes,29,20,8,5,7,31,29,+2
10,11,AS Saint-Etienne,28,20,7,7,6,26,16,+10
11,12,Toulouse FC,27,20,7,6,7,27,22,+5
12,13,Bastia SC,25,20,7,4,9,28,42,-14
13,14,Brest,24,20,7,3,10,22,28,-6
14,15,Ajaccio AC  ,20,20,5,7,8,21,29,-8
15,16,Reims,19,20,4,7,9,17,22,-5
16,17,Sochaux-Montbélliard,19,20,5,4,11,20,30,-10
17,18,Evian Thonon Gaillard,19,20,5,4,11,22,34,-12
18,19,ESTAC Troyes,13,20,2,7,11,21,39,-18
19,20,Nancy,12,20,1,9,10,17,35,-18
