,0,1,2,3,4,5,6,7,8,9
0,1,Olympique Lyonnais,3,1,1,0,0,3,1,+2
1,-,Olympique de Marseille,3,1,1,0,0,3,1,+2
2,3,AS Monaco,3,1,1,0,0,2,0,+2
3,4,AS Saint-Etienne,3,1,1,0,0,1,0,+1
4,5,Girondins de Bordeaux,1,1,0,1,0,1,1,0
5,-,Paris SG,1,1,0,1,0,1,1,0
6,-,Sochaux-Montbélliard,1,1,0,1,0,1,1,0
7,-,Ajaccio AC,1,1,0,1,0,1,1,0
8,9,Bastia SC,1,1,0,1,0,0,0,0
9,10,FC Nantes Atlantique,0,1,0,0,1,1,2,-1
10,-,Lille OSC,0,1,0,0,1,1,2,-1
11,-,Stade Rennais,0,1,0,0,1,1,2,-1
12,-,Reims,0,1,0,0,1,1,2,-1
13,14,Lorient,0,1,0,0,1,0,1,-1
14,-,En Avant Guingamp,0,1,0,0,1,0,1,-1
15,16,Valenciennes,0,1,0,0,1,0,2,-2
16,-,Evian Thonon Gaillard,0,1,0,0,1,0,2,-2
17,18,Montpellier Herault SC,0,1,0,0,1,1,4,-3
18,19,Toulouse FC,0,1,0,0,1,0,3,-3
19,20,OGC Nice,0,1,0,0,1,0,4,-4
