,0,1,2,3,4,5,6,7,8,9
0,1,OGC Nice,13,5,4,1,0,11,4,+7
1,2,Stade Rennais,12,4,4,0,0,8,2,+6
2,3,Paris SG,10,4,3,1,0,9,1,+8
3,4,AS Monaco,10,4,3,1,0,10,4,+6
4,5,AS Saint-Etienne,10,4,3,1,0,7,2,+5
5,6,Olympique Lyonnais,9,4,3,0,1,10,4,+6
6,7,Toulouse FC,9,3,3,0,0,8,2,+6
7,8,SM Caen,9,4,3,0,1,6,8,-2
8,9,Dijon FCO,8,5,2,2,1,10,6,+4
9,10,Olympique de Marseille,8,4,2,2,0,4,1,+3
10,11,SCO Angers,7,4,2,1,1,6,4,+2
11,12,En Avant Guingamp,7,3,2,1,0,4,2,+2
12,13,Girondins de Bordeaux,7,4,2,1,1,4,3,+1
13,14,Bastia SC,7,4,2,1,1,3,2,+1
14,15,Lille OSC,6,4,2,0,2,4,6,-2
15,16,Lorient,6,4,2,0,2,2,5,-3
16,17,FC Metz,6,4,2,0,2,5,12,-7
17,18,Montpellier Herault SC,5,4,1,2,1,3,3,0
18,19,FC Nantes Atlantique,4,4,1,1,2,1,4,-3
19,20,Nancy,1,4,0,1,3,1,7,-6
