,0,1,2,3,4,5,6,7,8,9
0,1,Inter Milan,6,2,2,0,0,9,0,+9
1,2,Juventus Turin,6,2,2,0,0,5,0,+5
2,3,AS Rome,6,2,2,0,0,4,0,+4
3,4,Sampdoria Gênes,6,2,2,0,0,4,1,+3
4,5,Udinese,6,2,2,0,0,3,0,+3
5,6,Hellas Vérone,4,2,1,1,0,4,3,+1
6,7,AC Cesena,4,2,1,1,0,3,2,+1
7,8,Lazio Rome,3,2,1,0,1,3,1,+2
8,9,Milan AC,3,2,1,0,1,3,2,+1
9,10,Genoa CFC,3,2,1,0,1,2,2,0
10,11,US Palerme,2,2,0,2,0,2,2,0
11,12,US Sassuolo Calcio,2,2,0,2,0,1,1,0
12,13,Fiorentina,2,2,0,2,0,0,0,0
13,14,SSC Naples,1,2,0,1,1,3,4,-1
14,15,Empoli FC,1,2,0,1,1,2,3,-1
15,16,Atalanta Bergame,1,2,0,1,1,0,1,-1
16,-,Torino FC,1,2,0,1,1,0,1,-1
17,18,Parme FC,0,2,0,0,2,5,7,-2
18,19,Chievo Vérone,0,2,0,0,2,2,4,-2
19,-,Cagliari,0,2,0,0,2,2,4,-2
