,0,1,2,3,4,5,6,7,8,9
0,1,SSC Naples,24,12,7,3,2,30,13,+17
1,2,Juventus Turin,24,12,8,0,4,19,10,+9
2,3,Atalanta Bergame,24,14,7,3,4,22,14,+8
3,4,AS Rome,23,14,7,2,5,21,15,+6
4,5,Lazio Rome,21,12,6,3,3,22,18,+4
5,6,Milan AC,21,13,6,3,4,18,16,+2
6,7,Inter Milan,19,13,6,1,6,13,15,-2
7,8,Fiorentina,16,13,5,1,7,23,24,-1
8,9,Chievo Vérone,16,12,5,1,6,13,15,-2
9,10,US Sassuolo Calcio,14,13,4,2,7,21,24,-3
10,11,Udinese,12,13,3,3,7,10,17,-7
11,12,Torino FC,11,14,2,5,7,19,26,-7
12,13,Bologne FC,11,13,2,5,6,12,23,-11
13,14,Sampdoria Gênes,10,13,2,4,7,12,20,-8
14,15,US Palerme,10,13,2,4,7,15,27,-12
15,16,Genoa CFC,8,13,2,2,9,10,28,-18
16,17,Cagliari,8,14,2,2,10,10,29,-19
17,18,Empoli FC,7,13,1,4,8,6,19,-13
18,19,Pescara Calcio,5,13,1,2,10,13,30,-17
19,20,Crotone,2,13,0,2,11,7,24,-17
