,0,1,2,3,4,5,6,7,8,9
0,1,SSC Naples,10,4,3,1,0,12,5,+7
1,2,Juventus Turin,9,4,3,0,1,7,4,+3
2,-,Genoa CFC,9,4,3,0,1,7,4,+3
3,4,AS Rome,7,4,2,1,1,9,5,+4
4,5,Lazio Rome,7,4,2,1,1,8,5,+3
5,6,Chievo Vérone,7,4,2,1,1,5,3,+2
6,7,Inter Milan,7,4,2,1,1,5,5,0
7,8,Sampdoria Gênes,6,4,2,0,2,5,5,0
8,9,Fiorentina,6,4,2,0,2,3,3,0
9,10,Milan AC,6,4,2,0,2,6,7,-1
10,11,Udinese,6,4,2,0,2,4,6,-2
11,-,US Sassuolo Calcio,6,4,2,0,2,4,6,-2
12,13,Bologne FC,6,4,2,0,2,5,9,-4
13,14,Torino FC,4,4,1,1,2,8,6,+2
14,15,Cagliari,4,4,1,1,2,7,7,0
15,16,Pescara Calcio,4,4,1,1,2,6,7,-1
16,17,Empoli FC,4,4,1,1,2,2,4,-2
17,18,Atalanta Bergame,3,4,1,0,3,6,10,-4
18,19,US Palerme,2,4,0,2,2,2,6,-4
19,20,Crotone,1,4,0,1,3,3,7,-4
