,0
0,Espagne2016/201738Journée  Général
1,Espagne2016/201738Journée  Domicile
2,Espagne2016/201738Journée  Extérieur
3,Espagne2016/201737Journée  Général
4,Espagne2016/201737Journée  Domicile
5,Espagne2016/201737Journée  Extérieur
6,Espagne2016/201736Journée  Général
7,Espagne2016/201736Journée  Domicile
8,Espagne2016/201736Journée  Extérieur
9,Espagne2016/201735Journée  Général
10,Espagne2016/201735Journée  Domicile
11,Espagne2016/201735Journée  Extérieur
12,Espagne2016/201734Journée  Général
13,Espagne2016/201734Journée  Domicile
14,Espagne2016/201734Journée  Extérieur
15,Espagne2016/201733Journée  Général
16,Espagne2016/201733Journée  Domicile
17,Espagne2016/201733Journée  Extérieur
18,Espagne2016/201732Journée  Général
19,Espagne2016/201732Journée  Domicile
20,Espagne2016/201732Journée  Extérieur
21,Espagne2016/201731Journée  Général
22,Espagne2016/201731Journée  Domicile
23,Espagne2016/201731Journée  Extérieur
24,Espagne2016/201730Journée  Général
25,Espagne2016/201730Journée  Domicile
26,Espagne2016/201730Journée  Extérieur
27,Espagne2016/201729Journée  Général
28,Espagne2016/201729Journée  Domicile
29,Espagne2016/201729Journée  Extérieur
30,Espagne2016/201728Journée  Général
31,Espagne2016/201728Journée  Domicile
32,Espagne2016/201728Journée  Extérieur
33,Espagne2016/201727Journée  Général
34,Espagne2016/201727Journée  Domicile
35,Espagne2016/201727Journée  Extérieur
36,Espagne2016/201726Journée  Général
37,Espagne2016/201726Journée  Domicile
38,Espagne2016/201726Journée  Extérieur
39,Espagne2016/201725Journée  Général
40,Espagne2016/201725Journée  Domicile
41,Espagne2016/201725Journée  Extérieur
42,Espagne2016/201724Journée  Général
43,Espagne2016/201724Journée  Domicile
44,Espagne2016/201724Journée  Extérieur
45,Espagne2016/201723Journée  Général
46,Espagne2016/201723Journée  Domicile
47,Espagne2016/201723Journée  Extérieur
48,Espagne2016/201722Journée  Général
49,Espagne2016/201722Journée  Domicile
50,Espagne2016/201722Journée  Extérieur
51,Espagne2016/201721Journée  Général
52,Espagne2016/201721Journée  Domicile
53,Espagne2016/201721Journée  Extérieur
54,Espagne2016/201720Journée  Général
55,Espagne2016/201720Journée  Domicile
56,Espagne2016/201720Journée  Extérieur
57,Espagne2016/201719Journée  Général
58,Espagne2016/201719Journée  Domicile
59,Espagne2016/201719Journée  Extérieur
60,Espagne2016/201718Journée  Général
61,Espagne2016/201718Journée  Domicile
62,Espagne2016/201718Journée  Extérieur
63,Espagne2016/201717Journée  Général
64,Espagne2016/201717Journée  Domicile
65,Espagne2016/201717Journée  Extérieur
66,Espagne2016/201716Journée  Général
67,Espagne2016/201716Journée  Domicile
68,Espagne2016/201716Journée  Extérieur
69,Espagne2016/201715Journée  Général
70,Espagne2016/201715Journée  Domicile
71,Espagne2016/201715Journée  Extérieur
72,Espagne2016/201714Journée  Général
