,0
0,France2016/201738Journée  Général
1,France2016/201738Journée  Domicile
2,France2016/201738Journée  Extérieur
3,France2016/201737Journée  Général
4,France2016/201737Journée  Domicile
5,France2016/201737Journée  Extérieur
6,France2016/201736Journée  Général
7,France2016/201736Journée  Domicile
8,France2016/201736Journée  Extérieur
9,France2016/201735Journée  Général
10,France2016/201735Journée  Domicile
11,France2016/201735Journée  Extérieur
12,France2016/201734Journée  Général
13,France2016/201734Journée  Domicile
14,France2016/201734Journée  Extérieur
15,France2016/201733Journée  Général
16,France2016/201733Journée  Domicile
17,France2016/201733Journée  Extérieur
18,France2016/201732Journée  Général
19,France2016/201732Journée  Domicile
20,France2016/201732Journée  Extérieur
21,France2016/201731Journée  Général
22,France2016/201731Journée  Domicile
23,France2016/201731Journée  Extérieur
24,France2016/201730Journée  Général
25,France2016/201730Journée  Domicile
26,France2016/201730Journée  Extérieur
27,France2016/201729Journée  Général
28,France2016/201729Journée  Domicile
29,France2016/201729Journée  Extérieur
30,France2016/201728Journée  Général
31,France2016/201728Journée  Domicile
32,France2016/201728Journée  Extérieur
33,France2016/201727Journée  Général
34,France2016/201727Journée  Domicile
35,France2016/201727Journée  Extérieur
36,France2016/201726Journée  Général
37,France2016/201726Journée  Domicile
38,France2016/201726Journée  Extérieur
39,France2016/201725Journée  Général
40,France2016/201725Journée  Domicile
41,France2016/201725Journée  Extérieur
42,France2016/201724Journée  Général
43,France2016/201724Journée  Domicile
44,France2016/201724Journée  Extérieur
45,France2016/201723Journée  Général
46,France2016/201723Journée  Domicile
47,France2016/201723Journée  Extérieur
48,France2016/201722Journée  Général
49,France2016/201722Journée  Domicile
50,France2016/201722Journée  Extérieur
51,France2016/201721Journée  Général
52,France2016/201721Journée  Domicile
53,France2016/201721Journée  Extérieur
54,France2016/201720Journée  Général
55,France2016/201720Journée  Domicile
56,France2016/201720Journée  Extérieur
57,France2016/201719Journée  Général
58,France2016/201719Journée  Domicile
59,France2016/201719Journée  Extérieur
60,France2016/2017Journée  Général
61,France2016/2017Journée  Domicile
62,France2016/2017Journée  Extérieur
63,France2016/201718Journée  Général
64,France2016/201718Journée  Domicile
65,France2016/201718Journée  Extérieur
66,France2016/201717Journée  Général
67,France2016/201717Journée  Domicile
68,France2016/201717Journée  Extérieur
69,France2016/201716Journée  Général
70,France2016/201716Journée  Domicile
71,France2016/201716Journée  Extérieur
72,France2016/201715Journée  Général
73,France2016/201715Journée  Domicile
74,France2016/201715Journée  Extérieur
75,France2016/201714Journée  Général
76,France2016/201714Journée  Domicile
77,France2016/201714Journée  Extérieur
78,France2016/201713Journée  Général
79,France2016/201713Journée  Domicile
80,France2016/201713Journée  Extérieur
81,France2016/201712Journée  Général
82,France2016/201712Journée  Domicile
83,France2016/201712Journée  Extérieur
84,France2016/201711Journée  Général
85,France2016/201711Journée  Domicile
86,France2016/201711Journée  Extérieur
87,France2016/201710Journée  Général
88,France2016/201710Journée  Domicile
89,France2016/201710Journée  Extérieur
90,France2016/20179Journée  Général
91,France2016/20179Journée  Domicile
92,France2016/20179Journée  Extérieur
93,France2016/2017Journée  Général
94,France2016/2017Journée  Domicile
95,France2016/2017Journée  Extérieur
96,France2016/20178Journée  Général
97,France2016/20178Journée  Domicile
98,France2016/20178Journée  Extérieur
99,France2016/20177Journée  Général
100,France2016/20177Journée  Domicile
101,France2016/20177Journée  Extérieur
102,France2016/20176Journée  Général
103,France2016/20176Journée  Domicile
104,France2016/20176Journée  Extérieur
105,France2016/20175Journée  Général
106,France2016/20175Journée  Domicile
107,France2016/20175Journée  Extérieur
108,France2016/20174Journée  Général
109,France2016/20174Journée  Domicile
110,France2016/20174Journée  Extérieur
111,France2016/20173Journée  Général
112,France2016/20173Journée  Domicile
113,France2016/20173Journée  Extérieur
114,France2016/20172Journée  Général
115,France2016/20172Journée  Domicile
116,France2016/20172Journée  Extérieur
117,France2017/201827Journée  Général
118,France2017/201827Journée  Domicile
119,France2017/201827Journée  Extérieur
120,France2017/201826Journée  Général
121,France2017/201826Journée  Domicile
122,France2017/201826Journée  Extérieur
123,France2017/201825Journée  Général
124,France2017/201825Journée  Domicile
125,France2017/201825Journée  Extérieur
126,France2017/201824Journée  Général
127,France2017/201824Journée  Domicile
128,France2017/201824Journée  Extérieur
129,France2017/201823Journée  Général
130,France2017/201823Journée  Domicile
131,France2017/201823Journée  Extérieur
132,France2017/201822Journée  Général
133,France2017/201822Journée  Domicile
134,France2017/201822Journée  Extérieur
135,France2017/201821Journée  Général
136,France2017/201821Journée  Domicile
137,France2017/201821Journée  Extérieur
138,France2017/201820Journée  Général
139,France2017/201820Journée  Domicile
140,France2017/201820Journée  Extérieur
141,France2017/2018Journée  Général
142,France2017/2018Journée  Domicile
143,France2017/2018Journée  Extérieur
144,France2017/201819Journée  Général
145,France2017/201819Journée  Domicile
146,France2017/201819Journée  Extérieur
147,France2017/201818Journée  Général
148,France2017/201818Journée  Domicile
149,France2017/201818Journée  Extérieur
150,France2017/201817Journée  Général
151,France2017/201817Journée  Domicile
152,France2017/201817Journée  Extérieur
153,France2017/201816Journée  Général
154,France2017/201816Journée  Domicile
155,France2017/201816Journée  Extérieur
156,France2017/201815Journée  Général
157,France2017/201815Journée  Domicile
158,France2017/201815Journée  Extérieur
159,France2017/201814Journée  Général
160,France2017/201814Journée  Domicile
161,France2017/201814Journée  Extérieur
162,France2017/201813Journée  Général
163,France2017/201813Journée  Domicile
164,France2017/201813Journée  Extérieur
165,France2017/201812Journée  Général
166,France2017/201812Journée  Domicile
167,France2017/201812Journée  Extérieur
168,France2017/201811Journée  Général
169,France2017/201811Journée  Domicile
170,France2017/201811Journée  Extérieur
171,France2017/201810Journée  Général
172,France2017/201810Journée  Domicile
173,France2017/201810Journée  Extérieur
174,France2017/20189Journée  Général
175,France2017/20189Journée  Domicile
176,France2017/20189Journée  Extérieur
177,France2017/20188Journée  Général
178,France2017/20188Journée  Domicile
179,France2017/20188Journée  Extérieur
180,France2017/20187Journée  Général
181,France2017/20187Journée  Domicile
182,France2017/20187Journée  Extérieur
183,France2017/2018Journée  Général
184,France2017/2018Journée  Domicile
185,France2017/2018Journée  Extérieur
186,France2017/20186Journée  Général
187,France2017/20186Journée  Domicile
188,France2017/20186Journée  Extérieur
189,France2017/20185Journée  Général
190,France2017/20185Journée  Domicile
191,France2017/20185Journée  Extérieur
192,France2017/20184Journée  Général
193,France2017/20184Journée  Domicile
194,France2017/20184Journée  Extérieur
195,France2017/20183Journée  Général
196,France2017/20183Journée  Domicile
197,France2017/20183Journée  Extérieur
198,France2017/20182Journée  Général
199,France2017/20182Journée  Domicile
200,France2017/20182Journée  Extérieur
201,Angleterre2016/201738Journée  Général
202,Angleterre2016/201738Journée  Domicile
203,Angleterre2016/201738Journée  Extérieur
204,Angleterre2016/201737Journée  Général
205,Angleterre2016/201737Journée  Domicile
206,Angleterre2016/201737Journée  Extérieur
207,Angleterre2016/201736Journée  Général
208,Angleterre2016/201736Journée  Domicile
209,Angleterre2016/201736Journée  Extérieur
210,Angleterre2016/201735Journée  Général
211,Angleterre2016/201735Journée  Domicile
212,Angleterre2016/201735Journée  Extérieur
213,Angleterre2016/201734Journée  Général
214,Angleterre2016/201734Journée  Domicile
215,Angleterre2016/201734Journée  Extérieur
216,Angleterre2016/201733Journée  Général
217,Angleterre2016/201733Journée  Domicile
218,Angleterre2016/201733Journée  Extérieur
219,Angleterre2016/201732Journée  Général
220,Angleterre2016/201732Journée  Domicile
221,Angleterre2016/201732Journée  Extérieur
222,Angleterre2016/201731Journée  Général
223,Angleterre2016/201731Journée  Domicile
224,Angleterre2016/201731Journée  Extérieur
225,Angleterre2016/201730Journée  Général
226,Angleterre2016/201730Journée  Domicile
227,Angleterre2016/201730Journée  Extérieur
228,Angleterre2016/201729Journée  Général
229,Angleterre2016/201729Journée  Domicile
230,Angleterre2016/201729Journée  Extérieur
231,Angleterre2016/201728Journée  Général
232,Angleterre2016/201728Journée  Domicile
233,Angleterre2016/201728Journée  Extérieur
234,Angleterre2016/201727Journée  Général
235,Angleterre2016/201727Journée  Domicile
236,Angleterre2016/201727Journée  Extérieur
237,Angleterre2016/201726Journée  Général
238,Angleterre2016/201726Journée  Domicile
239,Angleterre2016/201726Journée  Extérieur
240,Angleterre2016/201725Journée  Général
241,Angleterre2016/201725Journée  Domicile
242,Angleterre2016/201725Journée  Extérieur
243,Angleterre2016/201724Journée  Général
244,Angleterre2016/201724Journée  Domicile
245,Angleterre2016/201724Journée  Extérieur
246,Angleterre2016/201723Journée  Général
247,Angleterre2016/201723Journée  Domicile
248,Angleterre2016/201723Journée  Extérieur
249,Angleterre2016/201722Journée  Général
250,Angleterre2016/201722Journée  Domicile
251,Angleterre2016/201722Journée  Extérieur
252,Angleterre2016/201721Journée  Général
253,Angleterre2016/201721Journée  Domicile
254,Angleterre2016/201721Journée  Extérieur
255,Angleterre2016/201720Journée  Général
256,Angleterre2016/201720Journée  Domicile
257,Angleterre2016/201720Journée  Extérieur
258,Angleterre2016/201719Journée  Général
259,Angleterre2016/201719Journée  Domicile
260,Angleterre2016/201719Journée  Extérieur
261,Angleterre2016/201718Journée  Général
262,Angleterre2016/201718Journée  Domicile
263,Angleterre2016/201718Journée  Extérieur
264,Angleterre2016/201717Journée  Général
265,Angleterre2016/201717Journée  Domicile
266,Angleterre2016/201717Journée  Extérieur
267,Angleterre2016/201716Journée  Général
268,Angleterre2016/201716Journée  Domicile
269,Angleterre2016/201716Journée  Extérieur
270,Angleterre2016/201715Journée  Général
271,Angleterre2016/201715Journée  Domicile
272,Angleterre2016/201715Journée  Extérieur
273,Angleterre2016/201714Journée  Général
274,Angleterre2016/201714Journée  Domicile
275,Angleterre2016/201714Journée  Extérieur
276,Angleterre2016/201713Journée  Général
277,Angleterre2016/201713Journée  Domicile
278,Angleterre2016/201713Journée  Extérieur
279,Angleterre2016/201712Journée  Général
280,Angleterre2016/201712Journée  Domicile
281,Angleterre2016/201712Journée  Extérieur
282,Angleterre2016/201711Journée  Général
283,Angleterre2016/201711Journée  Domicile
284,Angleterre2016/201711Journée  Extérieur
285,Angleterre2016/201710Journée  Général
286,Angleterre2016/201710Journée  Domicile
287,Angleterre2016/201710Journée  Extérieur
288,Angleterre2016/20179Journée  Général
289,Angleterre2016/20179Journée  Domicile
290,Angleterre2016/20179Journée  Extérieur
291,Angleterre2016/20178Journée  Général
292,Angleterre2016/20178Journée  Domicile
293,Angleterre2016/20178Journée  Extérieur
294,Angleterre2016/20177Journée  Général
295,Angleterre2016/20177Journée  Domicile
296,Angleterre2016/20177Journée  Extérieur
297,Angleterre2016/20176Journée  Général
298,Angleterre2016/20176Journée  Domicile
299,Angleterre2016/20176Journée  Extérieur
300,Angleterre2016/20175Journée  Général
301,Angleterre2016/20175Journée  Domicile
302,Angleterre2016/20175Journée  Extérieur
303,Angleterre2016/20174Journée  Général
304,Angleterre2016/20174Journée  Domicile
305,Angleterre2016/20174Journée  Extérieur
306,Angleterre2016/20173Journée  Général
307,Angleterre2016/20173Journée  Domicile
308,Angleterre2016/20173Journée  Extérieur
309,Angleterre2016/20172Journée  Général
310,Angleterre2016/20172Journée  Domicile
311,Angleterre2016/20172Journée  Extérieur
312,Angleterre2017/201827Journée  Général
313,Angleterre2017/201827Journée  Domicile
314,Angleterre2017/201827Journée  Extérieur
315,Angleterre2017/201827Journée  Général
316,Angleterre2017/201827Journée  Domicile
317,Angleterre2017/201827Journée  Extérieur
318,Angleterre2017/201826Journée  Général
319,Angleterre2017/201826Journée  Domicile
320,Angleterre2017/201826Journée  Extérieur
321,Angleterre2017/201825Journée  Général
322,Angleterre2017/201825Journée  Domicile
323,Angleterre2017/201825Journée  Extérieur
324,Angleterre2017/201824Journée  Général
325,Angleterre2017/201824Journée  Domicile
326,Angleterre2017/201824Journée  Extérieur
327,Angleterre2017/201823Journée  Général
328,Angleterre2017/201823Journée  Domicile
329,Angleterre2017/201823Journée  Extérieur
330,Angleterre2017/201822Journée  Général
331,Angleterre2017/201822Journée  Domicile
332,Angleterre2017/201822Journée  Extérieur
333,Angleterre2017/201821Journée  Général
334,Angleterre2017/201821Journée  Domicile
335,Angleterre2017/201821Journée  Extérieur
336,Angleterre2017/201820Journée  Général
337,Angleterre2017/201820Journée  Domicile
338,Angleterre2017/201820Journée  Extérieur
339,Angleterre2017/201819Journée  Général
340,Angleterre2017/201819Journée  Domicile
341,Angleterre2017/201819Journée  Extérieur
342,Angleterre2017/201818Journée  Général
343,Angleterre2017/201818Journée  Domicile
344,Angleterre2017/201818Journée  Extérieur
345,Angleterre2017/201817Journée  Général
346,Angleterre2017/201817Journée  Domicile
347,Angleterre2017/201817Journée  Extérieur
348,Angleterre2017/201816Journée  Général
349,Angleterre2017/201816Journée  Domicile
350,Angleterre2017/201816Journée  Extérieur
351,Angleterre2017/201815Journée  Général
352,Angleterre2017/201815Journée  Domicile
353,Angleterre2017/201815Journée  Extérieur
354,Angleterre2017/201814Journée  Général
355,Angleterre2017/201814Journée  Domicile
356,Angleterre2017/201814Journée  Extérieur
357,Angleterre2017/201813Journée  Général
358,Angleterre2017/201813Journée  Domicile
359,Angleterre2017/201813Journée  Extérieur
360,Angleterre2017/201812Journée  Général
361,Angleterre2017/201812Journée  Domicile
362,Angleterre2017/201812Journée  Extérieur
363,Angleterre2017/201811Journée  Général
364,Angleterre2017/201811Journée  Domicile
365,Angleterre2017/201811Journée  Extérieur
366,Angleterre2017/201810Journée  Général
367,Angleterre2017/201810Journée  Domicile
368,Angleterre2017/201810Journée  Extérieur
369,Angleterre2017/20189Journée  Général
370,Angleterre2017/20189Journée  Domicile
371,Angleterre2017/20189Journée  Extérieur
372,Angleterre2017/20188Journée  Général
373,Angleterre2017/20188Journée  Domicile
374,Angleterre2017/20188Journée  Extérieur
375,Angleterre2017/20187Journée  Général
376,Angleterre2017/20187Journée  Domicile
377,Angleterre2017/20187Journée  Extérieur
378,Angleterre2017/20186Journée  Général
379,Angleterre2017/20186Journée  Domicile
380,Angleterre2017/20186Journée  Extérieur
381,Angleterre2017/20185Journée  Général
382,Angleterre2017/20185Journée  Domicile
383,Angleterre2017/20185Journée  Extérieur
384,Angleterre2017/20184Journée  Général
385,Angleterre2017/20184Journée  Domicile
386,Angleterre2017/20184Journée  Extérieur
387,Angleterre2017/20183Journée  Général
388,Angleterre2017/20183Journée  Domicile
389,Angleterre2017/20183Journée  Extérieur
390,Angleterre2017/20182Journée  Général
391,Angleterre2017/20182Journée  Domicile
392,Angleterre2017/20182Journée  Extérieur
393,Espagne2016/201738Journée  Général
394,Espagne2016/201738Journée  Domicile
395,Espagne2016/201738Journée  Extérieur
396,Espagne2016/201737Journée  Général
397,Espagne2016/201737Journée  Domicile
398,Espagne2016/201737Journée  Extérieur
399,Espagne2016/201736Journée  Général
400,Espagne2016/201736Journée  Domicile
401,Espagne2016/201736Journée  Extérieur
402,Espagne2016/201735Journée  Général
403,Espagne2016/201735Journée  Domicile
404,Espagne2016/201735Journée  Extérieur
405,Espagne2016/201734Journée  Général
406,Espagne2016/201734Journée  Domicile
407,Espagne2016/201734Journée  Extérieur
408,Espagne2016/2017Journée  Général
409,Espagne2016/2017Journée  Domicile
410,Espagne2016/2017Journée  Extérieur
411,Espagne2016/201733Journée  Général
412,Espagne2016/201733Journée  Domicile
413,Espagne2016/201733Journée  Extérieur
414,Espagne2016/201732Journée  Général
415,Espagne2016/201732Journée  Domicile
416,Espagne2016/201732Journée  Extérieur
417,Espagne2016/201731Journée  Général
418,Espagne2016/201731Journée  Domicile
419,Espagne2016/201731Journée  Extérieur
420,Espagne2016/201730Journée  Général
421,Espagne2016/201730Journée  Domicile
422,Espagne2016/201730Journée  Extérieur
423,Espagne2016/201729Journée  Général
424,Espagne2016/201729Journée  Domicile
425,Espagne2016/201729Journée  Extérieur
426,Espagne2016/2017Journée  Général
427,Espagne2016/2017Journée  Domicile
428,Espagne2016/2017Journée  Extérieur
429,Espagne2016/201728Journée  Général
430,Espagne2016/201728Journée  Domicile
431,Espagne2016/201728Journée  Extérieur
432,Espagne2016/201727Journée  Général
433,Espagne2016/201727Journée  Domicile
434,Espagne2016/201727Journée  Extérieur
