,0
0,France2012/201338Journée  Général
1,France2012/201338Journée  Domicile
2,France2012/201338Journée  Extérieur
3,France2012/201337Journée  Général
4,France2012/201337Journée  Domicile
5,France2012/201337Journée  Extérieur
6,France2012/201336Journée  Général
7,France2012/201336Journée  Domicile
8,France2012/201336Journée  Extérieur
9,France2012/201335Journée  Général
10,France2012/201335Journée  Domicile
11,France2012/201335Journée  Extérieur
12,France2012/201334Journée  Général
13,France2012/201334Journée  Domicile
14,France2012/201334Journée  Extérieur
15,France2012/201333Journée  Général
16,France2012/201333Journée  Domicile
17,France2012/201333Journée  Extérieur
18,France2012/201332Journée  Général
19,France2012/201332Journée  Domicile
20,France2012/201332Journée  Extérieur
21,France2012/201331Journée  Général
22,France2012/201331Journée  Domicile
23,France2012/201331Journée  Extérieur
24,France2012/201330Journée  Général
25,France2012/201330Journée  Domicile
26,France2012/201330Journée  Extérieur
27,France2012/201329Journée  Général
28,France2012/201329Journée  Domicile
29,France2012/201329Journée  Extérieur
30,France2012/201328Journée  Général
31,France2012/201328Journée  Domicile
32,France2012/201328Journée  Extérieur
33,France2012/201327Journée  Général
34,France2012/201327Journée  Domicile
35,France2012/201327Journée  Extérieur
36,France2012/201326Journée  Général
37,France2012/201326Journée  Domicile
38,France2012/201326Journée  Extérieur
39,France2012/201325Journée  Général
40,France2012/201325Journée  Domicile
41,France2012/201325Journée  Extérieur
42,France2012/201324Journée  Général
43,France2012/201324Journée  Domicile
44,France2012/201324Journée  Extérieur
45,France2012/201323Journée  Général
46,France2012/201323Journée  Domicile
47,France2012/201323Journée  Extérieur
48,France2012/201322Journée  Général
49,France2012/201322Journée  Domicile
50,France2012/201322Journée  Extérieur
51,France2012/201321Journée  Général
52,France2012/201321Journée  Domicile
53,France2012/201321Journée  Extérieur
54,France2012/201320Journée  Général
55,France2012/201320Journée  Domicile
56,France2012/201320Journée  Extérieur
57,France2012/201319Journée  Général
58,France2012/201319Journée  Domicile
59,France2012/201319Journée  Extérieur
60,France2012/201318Journée  Général
61,France2012/201318Journée  Domicile
62,France2012/201318Journée  Extérieur
63,France2012/201317Journée  Général
64,France2012/201317Journée  Domicile
65,France2012/201317Journée  Extérieur
66,France2012/201316Journée  Général
67,France2012/201316Journée  Domicile
68,France2012/201316Journée  Extérieur
69,France2012/201315Journée  Général
70,France2012/201315Journée  Domicile
71,France2012/201315Journée  Extérieur
72,France2012/201314Journée  Général
73,France2012/201314Journée  Domicile
74,France2012/201314Journée  Extérieur
75,France2012/201313Journée  Général
76,France2012/201313Journée  Domicile
77,France2012/201313Journée  Extérieur
78,France2012/201312Journée  Général
79,France2012/201312Journée  Domicile
80,France2012/201312Journée  Extérieur
81,France2012/201311Journée  Général
82,France2012/201311Journée  Domicile
83,France2012/201311Journée  Extérieur
84,France2012/201310Journée  Général
85,France2012/201310Journée  Domicile
86,France2012/201310Journée  Extérieur
87,France2012/20139Journée  Général
88,France2012/20139Journée  Domicile
89,France2012/20139Journée  Extérieur
