,0
0,Angleterre2012/201338Journée  Général
1,Angleterre2012/201338Journée  Domicile
2,Angleterre2012/201338Journée  Extérieur
3,Angleterre2012/201337Journée  Général
4,Angleterre2012/201337Journée  Domicile
5,Angleterre2012/201337Journée  Extérieur
6,Angleterre2012/201336Journée  Général
7,Angleterre2012/201336Journée  Domicile
8,Angleterre2012/201336Journée  Extérieur
9,Angleterre2012/201335Journée  Général
10,Angleterre2012/201335Journée  Domicile
11,Angleterre2012/201335Journée  Extérieur
12,Angleterre2012/201334Journée  Général
13,Angleterre2012/201334Journée  Domicile
14,Angleterre2012/201334Journée  Extérieur
15,Angleterre2012/201333Journée  Général
16,Angleterre2012/201333Journée  Domicile
17,Angleterre2012/201333Journée  Extérieur
18,Angleterre2012/201332Journée  Général
19,Angleterre2012/201332Journée  Domicile
20,Angleterre2012/201332Journée  Extérieur
21,Angleterre2012/201331Journée  Général
22,Angleterre2012/201331Journée  Domicile
23,Angleterre2012/201331Journée  Extérieur
24,Angleterre2012/2013Journée  Général
25,Angleterre2012/2013Journée  Domicile
26,Angleterre2012/2013Journée  Extérieur
27,Angleterre2012/201330Journée  Général
28,Angleterre2012/201330Journée  Domicile
29,Angleterre2012/201330Journée  Extérieur
30,Angleterre2012/201329Journée  Général
31,Angleterre2012/201329Journée  Domicile
32,Angleterre2012/201329Journée  Extérieur
33,Angleterre2012/201328Journée  Général
34,Angleterre2012/201328Journée  Domicile
35,Angleterre2012/201328Journée  Extérieur
36,Angleterre2012/201327Journée  Général
37,Angleterre2012/201327Journée  Domicile
38,Angleterre2012/201327Journée  Extérieur
39,Angleterre2012/201326Journée  Général
40,Angleterre2012/201326Journée  Domicile
41,Angleterre2012/201326Journée  Extérieur
42,Angleterre2012/201325Journée  Général
43,Angleterre2012/201325Journée  Domicile
44,Angleterre2012/201325Journée  Extérieur
45,Angleterre2012/201324Journée  Général
46,Angleterre2012/201324Journée  Domicile
47,Angleterre2012/201324Journée  Extérieur
48,Angleterre2012/201323Journée  Général
49,Angleterre2012/201323Journée  Domicile
50,Angleterre2012/201323Journée  Extérieur
51,Angleterre2012/201322Journée  Général
52,Angleterre2012/201322Journée  Domicile
53,Angleterre2012/201322Journée  Extérieur
54,Angleterre2012/201321Journée  Général
55,Angleterre2012/201321Journée  Domicile
56,Angleterre2012/201321Journée  Extérieur
57,Angleterre2012/201320Journée  Général
58,Angleterre2012/201320Journée  Domicile
59,Angleterre2012/201320Journée  Extérieur
60,Angleterre2012/201319Journée  Général
61,Angleterre2012/201319Journée  Domicile
62,Angleterre2012/201319Journée  Extérieur
63,Angleterre2012/201318Journée  Général
64,Angleterre2012/201318Journée  Domicile
65,Angleterre2012/201318Journée  Extérieur
66,Angleterre2012/201317Journée  Général
67,Angleterre2012/201317Journée  Domicile
68,Angleterre2012/201317Journée  Extérieur
69,Angleterre2012/201316Journée  Général
70,Angleterre2012/201316Journée  Domicile
71,Angleterre2012/201316Journée  Extérieur
72,Angleterre2012/201315Journée  Général
73,Angleterre2012/201315Journée  Domicile
74,Angleterre2012/201315Journée  Extérieur
75,Angleterre2012/201314Journée  Général
76,Angleterre2012/201314Journée  Domicile
77,Angleterre2012/201314Journée  Extérieur
78,Angleterre2012/201313Journée  Général
79,Angleterre2012/201313Journée  Domicile
80,Angleterre2012/201313Journée  Extérieur
81,Angleterre2012/201312Journée  Général
82,Angleterre2012/201312Journée  Domicile
83,Angleterre2012/201312Journée  Extérieur
84,Angleterre2012/201311Journée  Général
85,Angleterre2012/201311Journée  Domicile
86,Angleterre2012/201311Journée  Extérieur
87,Angleterre2012/201310Journée  Général
88,Angleterre2012/201310Journée  Domicile
89,Angleterre2012/201310Journée  Extérieur
90,Angleterre2012/20139Journée  Général
91,Angleterre2012/20139Journée  Domicile
92,Angleterre2012/20139Journée  Extérieur
93,Angleterre2012/20138Journée  Général
94,Angleterre2012/20138Journée  Domicile
95,Angleterre2012/20138Journée  Extérieur
96,Angleterre2012/20137Journée  Général
97,Angleterre2012/20137Journée  Domicile
98,Angleterre2012/20137Journée  Extérieur
99,Angleterre2012/20136Journée  Général
100,Angleterre2012/20136Journée  Domicile
101,Angleterre2012/20136Journée  Extérieur
102,Angleterre2012/20135Journée  Général
103,Angleterre2012/20135Journée  Domicile
104,Angleterre2012/20135Journée  Extérieur
105,Angleterre2012/20134Journée  Général
106,Angleterre2012/20134Journée  Domicile
107,Angleterre2012/20134Journée  Extérieur
108,Angleterre2012/20133Journée  Général
109,Angleterre2012/20133Journée  Domicile
110,Angleterre2012/20133Journée  Extérieur
111,Angleterre2012/20132Journée  Général
112,Angleterre2012/20132Journée  Domicile
113,Angleterre2012/20132Journée  Extérieur
114,Angleterre2013/201438Journée  Général
115,Angleterre2013/201438Journée  Domicile
116,Angleterre2013/201438Journée  Extérieur
117,Angleterre2013/201437Journée  Général
118,Angleterre2013/201437Journée  Domicile
119,Angleterre2013/201437Journée  Extérieur
120,Angleterre2013/201436Journée  Général
121,Angleterre2013/201436Journée  Domicile
122,Angleterre2013/201436Journée  Extérieur
123,Angleterre2013/201435Journée  Général
124,Angleterre2013/201435Journée  Domicile
125,Angleterre2013/201435Journée  Extérieur
126,Angleterre2013/201434Journée  Général
127,Angleterre2013/201434Journée  Domicile
128,Angleterre2013/201434Journée  Extérieur
129,Angleterre2013/201433Journée  Général
130,Angleterre2013/201433Journée  Domicile
131,Angleterre2013/201433Journée  Extérieur
132,Angleterre2013/201432Journée  Général
133,Angleterre2013/201432Journée  Domicile
134,Angleterre2013/201432Journée  Extérieur
135,Angleterre2013/201431Journée  Général
136,Angleterre2013/201431Journée  Domicile
137,Angleterre2013/201431Journée  Extérieur
138,Angleterre2013/201430Journée  Général
139,Angleterre2013/201430Journée  Domicile
140,Angleterre2013/201430Journée  Extérieur
141,Angleterre2013/201429Journée  Général
142,Angleterre2013/201429Journée  Domicile
143,Angleterre2013/201429Journée  Extérieur
144,Angleterre2013/201428Journée  Général
145,Angleterre2013/201428Journée  Domicile
146,Angleterre2013/201428Journée  Extérieur
147,Angleterre2013/2014Journée  Général
148,Angleterre2013/2014Journée  Domicile
149,Angleterre2013/2014Journée  Extérieur
150,Angleterre2013/201427Journée  Général
151,Angleterre2013/201427Journée  Domicile
152,Angleterre2013/201427Journée  Extérieur
153,Angleterre2013/201426Journée  Général
154,Angleterre2013/201426Journée  Domicile
155,Angleterre2013/201426Journée  Extérieur
156,Angleterre2013/201425Journée  Général
157,Angleterre2013/201425Journée  Domicile
158,Angleterre2013/201425Journée  Extérieur
159,Angleterre2013/201424Journée  Général
160,Angleterre2013/201424Journée  Domicile
161,Angleterre2013/201424Journée  Extérieur
162,Angleterre2013/201423Journée  Général
163,Angleterre2013/201423Journée  Domicile
